neighbourhood,year,population,key
la Creu Coberta,2018,6156,LACREUCOBERTA
la Creu Coberta,2019,6158,LACREUCOBERTA
la Creu Coberta,2020,6113,LACREUCOBERTA
la Creu Coberta,2021,6049,LACREUCOBERTA
la Creu Coberta,2022,5987,LACREUCOBERTA
la Creu Coberta,2023,6046,LACREUCOBERTA
la Creu Coberta,2024,6099,LACREUCOBERTA
la Fonteta de Sant Lluís,1991,3120,LAFONTETADESANTLLUS
la Fonteta de Sant Lluís,1996,3030,LAFONTETADESANTLLUS
la Fonteta de Sant Lluís,2001,3055,LAFONTETADESANTLLUS
la Fonteta de Sant Lluís,2014,2827,LAFONTETADESANTLLUS
la Fonteta de Sant Lluís,2015,2821,LAFONTETADESANTLLUS
la Fonteta de Sant Lluís,2016,2807,LAFONTETADESANTLLUS
la Fonteta de Sant Lluís,2017,2901,LAFONTETADESANTLLUS
la Fonteta de Sant Lluís,2018,2943,LAFONTETADESANTLLUS
la Fonteta de Sant Lluís,2019,2950,LAFONTETADESANTLLUS
la Fonteta de Sant Lluís,2020,3032,LAFONTETADESANTLLUS
la Fonteta de Sant Lluís,2021,2995,LAFONTETADESANTLLUS
la Fonteta de Sant Lluís,2022,3040,LAFONTETADESANTLLUS
la Fonteta de Sant Lluís,2023,3088,LAFONTETADESANTLLUS
la Fonteta de Sant Lluís,2024,3186,LAFONTETADESANTLLUS
la Fontsanta,1991,4387,LAFONTSANTA
la Fontsanta,1996,4007,LAFONTSANTA
la Fontsanta,2001,4169,LAFONTSANTA
la Fontsanta,2014,3531,LAFONTSANTA
la Fontsanta,2015,3541,LAFONTSANTA
la Fontsanta,2016,3512,LAFONTSANTA
la Fontsanta,2017,3518,LAFONTSANTA
la Fontsanta,2018,3544,LAFONTSANTA
la Fontsanta,2019,3511,LAFONTSANTA
la Fontsanta,2020,3562,LAFONTSANTA
la Fontsanta,2021,3567,LAFONTSANTA
la Fontsanta,2022,3554,LAFONTSANTA
la Fontsanta,2023,3649,LAFONTSANTA
la Fontsanta,2024,3866,LAFONTSANTA
Benimàmet,1991,11706,BENIMMET
Benimàmet,1996,11776,BENIMMET
Benimàmet,2001,12016,BENIMMET
Benimàmet,2014,12980,BENIMMET
Benimàmet,2015,12899,BENIMMET
Benimàmet,2016,12891,BENIMMET
Benimàmet,2017,12888,BENIMMET
Benimàmet,2018,12942,BENIMMET
Benimàmet,2019,13187,BENIMMET
Benimàmet,2020,13389,BENIMMET
Benimàmet,2021,13357,BENIMMET
Benimàmet,2022,13375,BENIMMET
Benimàmet,2023,13559,BENIMMET
Benimàmet,2024,14012,BENIMMET
Mauella,1991,69,MAUELLA
Mauella,1996,73,MAUELLA
Mauella,2001,65,MAUELLA
Mauella,2014,52,MAUELLA
Mauella,2015,52,MAUELLA
Mauella,2016,47,MAUELLA
Mauella,2017,47,MAUELLA
Mauella,2018,48,MAUELLA
Mauella,2019,45,MAUELLA
Mauella,2020,50,MAUELLA
Mauella,2021,58,MAUELLA
Mauella,2022,57,MAUELLA
Mauella,2023,56,MAUELLA
Mauella,2024,59,MAUELLA
Arrancapins,1991,24790,ARRANCAPINS
Arrancapins,1996,23981,ARRANCAPINS
Arrancapins,2001,23402,ARRANCAPINS
Arrancapins,2014,22409,ARRANCAPINS
Arrancapins,2015,22238,ARRANCAPINS
Arrancapins,2016,22228,ARRANCAPINS
Arrancapins,2017,22401,ARRANCAPINS
Arrancapins,2018,22563,ARRANCAPINS
Arrancapins,2019,22508,ARRANCAPINS
Arrancapins,2020,22687,ARRANCAPINS
Arrancapins,2021,22562,ARRANCAPINS
Arrancapins,2022,22491,ARRANCAPINS
Arrancapins,2023,22875,ARRANCAPINS
Arrancapins,2024,23354,ARRANCAPINS
la Carrasca,1991,2823,LACARRASCA
la Carrasca,1996,3387,LACARRASCA
la Carrasca,2001,3531,LACARRASCA
la Carrasca,2014,3432,LACARRASCA
la Carrasca,2015,3464,LACARRASCA
la Carrasca,2016,3522,LACARRASCA
la Carrasca,2017,3506,LACARRASCA
la Carrasca,2018,3537,LACARRASCA
la Carrasca,2019,3542,LACARRASCA
la Carrasca,2020,3434,LACARRASCA
la Carrasca,2021,3444,LACARRASCA
la Carrasca,2022,3306,LACARRASCA
la Carrasca,2023,3297,LACARRASCA
la Carrasca,2024,3301,LACARRASCA
